,ingredients,frequency
0,วุ้นเส้น,47
1,หมูกรอบ,13
2,ใบกระเพรา,82
3,พริก,89
4,กระเทียม,633
5,ซีอิ้วขาวสูตรลดโซเดี่ยม,1
6,น้ำตาลทราย,619
7,คนอร์ผงปรุงรสหมูสูตรไม่ใส่ผงชูรส,2
8,น้ำสะอาด,113
9,น้ำมันหมูสำหรับผัด,1
10,ไข่ไก่,627
11,บะหมี่กึ่งสำเร็จรูป ลวกสุก,1
12,นมสด รสจืด กล่องเล็ก,1
13,แครอท หั่นเต๋า,3
14,ปวยเล้ง หรืออื่นๆตามชอบ,1
15,น้ำปลา หรือผงปรุงรส,1
16,พริกไทยขาว,14
17,เกี่ยมอี๋ลวก,1
18,ไส้ต้มเปื่อย,1
19,หมูก้อนหั่น,1
20,ต้นหอม,228
21,น้ำตาล,584
22,น้ำปลา,736
23,ซอสฝาเขียว,13
24,น้ำมัน,328
25,กระเทียมเจียวกากหมู,2
26,เห็ดออรินจิ,19
27,เนื้ออกไก่,24
28,เกลือ,417
29,พริกไทย,274
30,น้ำมันพืช,423
31,กระหล่ำปลี,21
32,น้ำเปล่า,306
33,กุ้งขาว,8
34,น้ำตาลปี๊ป,14
35,ซีอิ๊วดำ,77
36,ซอสหอยนางรม,213
37,ซีอิ๊วขาว,294
38,"เบคอน,ขิงแก่,กระเทียม,พริกไทยป่น,พริกไทยดำ,คื่นช่าย,ต้นหอม",1
39,ซอสข้นคนอร์,2
40,หนังปลาแซลมอนติดเนื้อ,1
41,โชยุ,53
42,พริกไทยป่น,163
43,เส้นฟูซืลี,1
44,หมูบด,76
45,หอมหัวใหญ่,83
46,มะเขือเทศ,139
47,เนย,70
48,อาริกาโน,6
49,แป้งข้าวโพด,32
50,แป้งอเนกประสงค์,8
51,ซอสมะเขือเทศ,103
52,เนื้อหมูตรงสันคอ,1
53,กระเทียมสับ,276
54,งาขาวคั่ว,20
55,น้ำมันหอย,575
56,ซีอิ้วขาว,289
57,เนื้อหมู,123
58,ผักบุ้ง,39
59,น้ำจิ้มสุกี้,15
60,ผงคนอร์,14
61,ปลาซุกิ,3
62,ไข่,73
63,เกล็ดขนมปัง,22
64,เลมอน,1
65,พริกไทยดำป่น,25
66,ปลากระป๋อง,23
67,มะนาว,191
68,หอมแดง,100
69,พริกขี้หนู,158
70,มาม่าต้มยำกุ้งน้ำใส,2
