,ingredient,uniq_unit,ชิ้น,ห่อ,ลูก,หัว,ถุง,กระฉอก,ถาด,ยอด,ต้น,ขา,ซอง,ก้อน,เส้น,อัน,บาท,เม็ด,กระป๋อง,ใบ,ใจ,แผ่น,ก้าน,แพ็ค,แท่ง,ท่อน,ผล,ตัว,ฝัก,มัด,ดอก,กล่อง,ชุด,กิ่ง,พวง,แว่น,อก,แง่ง,ช่อ,นิ้ว,ราก,หลอด,แพ,หม้อ,ซอย,ซีก,น่อง,โครง,ดวง,ขยุ้ม
0,น้ำปลา(?!ร้า),"['', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'gram', 'milligram', 'bottle', 'cup', 'dipper', 'min', 'avg', 'drops']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,^กระเทียม|กะเทียม|กระเทียบสับ|ผงกระเทียม|กระเทียวเจียว|กระเทียบ|กระทียมสับ|garlic|^น้ำจิ้ม กระเทียม$,"['', 'บาท', 'ซีก', 'หัว', 'แพ็คเล็ก', 'หัวใหญ่', 'pieces', 'เม็ด', 'หัวเล็ก', 'หัวทุบ', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'gram', 'glass', 'hundred_gram', 'hand', 'pick', 'lobe', 'cup', 'dipper', 'min', 'avg']",0,0,0,x,0,0,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,x,0,0,0,0
2,^ไข่(?!(เป็ด|กุ้ง|ปลาหมึก))|ไก่ไข่,"['', 'บาท', 'ลูก', 'พวง', 'ใบ', 'คลึ่งลูก', 'เม็ด', 'table_spoon', 'kilogram', 'gram', 'milligram', 'cup', 'min', 'avg', 'buble']",0,0,x,0,0,0,0,0,0,0,0,0,0,0,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,น้ำตาล(?!หญ้าหวาน)|นำ้ตาลทราย,"['', 'ชิ้นเล็กๆ', 'เม็ด', 'ก้อน', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'kilogram', 'gram', 'hundred_gram', 'pick', 'cup', 'dipper', 'min', 'avg']",x,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,เกลือ|salt|เกลอ,"['', 'กระป๋อง', 'ชุด', 'ถุง', 'ดอก', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'kilogram', 'gram', 'hand', 'pick', 'cup', 'min', 'avg']",0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ซอสปรุงรส|ซอสฝาเขียว|ซอสฝาเหลือง|ซอสแมคกี้|ซอสแม็กกี้|ซอสข้นปรุงรสคนอร์|แม๊กกี้|ซอส|แม็กกี้|คนอร์ซอสข้นปรุงรสหมู|ซอสข้นคนอร์|ซอลปรุงรส|แมกกี้|ซ้อสปรุงรส,"['', 'กระป๋อง', 'กป.', 'ซอง', 'ถุง', 'ห่อ', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'gram', 'milligram', 'bottle', 'cup', 'dipper', 'min', 'avg', 'millitre', 'drops']",0,x,0,0,x,0,0,0,0,0,x,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,น้ำมันหอย|ซอสหอย|ซอยหอยนางรม|นำ้มันหอย|ซอลหอยนางรม|นํ้ามันหอย,"['', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'gram', 'cup', 'dipper', 'min', 'avg', 'drops']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,น้ำมัน(?!(หอย|พริกเผา|งา))|olive oil|oil,"['', 'กระฉอกใหญ่', 'ใช้ผัด', 'กะทะ', 'กระทะ', 'กระปุก', 'ซอง', 'กระฉอกเล็ก', 'กะเองนะ', 'ฉีด', 'กระป๋อง', 'ของกระทะ', 'ใช้ทอด', 'สเปรย์', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'gram', 'milligram', 'litre', 'bottle', 'oz', 'cup', 'dipper', 'min', 'avg', 'millitre']",0,0,0,0,0,x,0,0,0,0,x,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,น้ำเปล่า|น้ำสะอาด|น้ำต้มสุก|^น้ำ$|น้ำเย็น|น้ำร้อน|น้ำดื่ม|น้ำอุ่น|น้ำสำหรับต้มเส้น,"['', 'กระทะ', 'ท่วมหมู', 'ถ้วน', 'ต้มเส้น', 'หม้อ', 'ใส่ท่วมหมู', 'ข้อนิ้ว', 'ใส่/ซอส', 'ก้อน', 'ขัน', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'kilogram', 'gram', 'milligram', 'litre', 'glass', 'bottle', 'cup', 'dipper', 'min', 'avg', 'plate', 'millitre']",0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,0,0,0,0,0
9,ซีอิ๊วขาว|ซีอิ้วขาว|ซอสถั่วเหลือง|ซีอิ๋วขาว|สี่อิ๋วขาวสูตร1|ซีอิ้วปรุงรส|^ซีอิ๊ว$|ซี๊อิ๋วขาว|ซีอิ้ว ขาว|ซีอิ้ว|ชีอิ้วขาว|ซี้อิ้วขาว|ซีอี๊วขาว|ชีอิ๊วขาว|ซีอิ๋ว|ซี่อิ๋วขาวสูตร1|สี่อิ๋วขาวสูตร 2|soy sauce|ซีอี้วขาว|ซีอี๋วขาว|สี่อิ๋วขาวสูตร|สี่อิ่ว,"['', 'ขาว', 'ห่อ', 'ซ้อนโต้ะ', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'gram', 'cup', 'dipper', 'min', 'avg', 'drops']",0,x,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
