title,PC1,PC2,PC3,PC4
ผัดวุ้นเส้นกระเพราหมูกรอบ,-166.8430021143384,-112.21526018000996,-39.66657921897397,-78.04254266887754
ไข่ตุ๋นมาม่า,-198.75968128524872,-115.25046081379827,-39.54052287596712,-79.23899567508366
เกี่ยมอี๋คั่วไส้หมูก้อน,-198.73900881151846,-120.3016837793168,-39.72236653871433,120.4394667726997
ออรินจิคั่วเกลือพริกไทย,-198.76351596765275,-115.2711235572876,-39.766384584250176,-87.34280988110105
กระหล่ำปลีทอดน้ำปลา,-178.74754630325629,-120.22205062811634,-39.658154786541004,-77.71331109589501
กุ้งอบวุ้นเส้น,21.283507902701214,-97.81052703234492,-39.81420642886795,-86.60331397391735
หนังปลาทอดโชยุ,-198.7465386864432,-118.62680266116737,-39.66668731528436,-79.74256759247433
ฟูซิลีซอสมะเขือเทศลูกชิ้นหมู,-198.79675010074166,-120.33755635061007,-39.97533988809027,126.67257394051028
หมูแดดเดียว,-198.6784703145971,-120.3679418450347,-40.116939340081665,420.23742056759414
สุกี้แห้ง,-198.77087621644762,-120.30296021499225,-39.7920869621316,137.9086288308485
ปลาดิบชุบแป้งทอด,-198.76853296268607,-119.0128745683955,-39.666694889745926,-87.57425000541727
ยำปลากระป๋อง,-198.757303380673,-108.24147194619385,-39.6588620866619,-78.6584213482937
ยำมาม่าหมูยอกุ้ง,-198.77252625075565,-110.27672349433358,-39.767791751533274,-83.7171291850044
ไข่เจียวมะเขือเทศไข่เค็ม,-198.76090992799138,-120.25778860920785,-39.5645191010667,-78.01471612852832
ลูกชิ้นปลาผัดฉ่า,-198.72856671242258,-100.24244738024476,-39.67445436415715,-74.99651088876661
ก๋วยเตี๋ยวไก่ตุ๋น,-198.7075104342238,-110.311249138083,-39.9459023301564,-106.26730638662823
พาสต้าผัดเบคอนพริกแห้ง,-198.75622703906078,-110.24792737941907,-39.68007031045106,-78.4120637912053
เฟตตูชินีคาโบนารา,-198.7609623351418,-115.19559435788044,-39.55696990365994,-78.90694392127128
ข้าวผัดน้ำพริกเผา,-198.76689552295,-105.27164120846969,-39.73947581432584,-81.74464644804324
หมูผัดตะไคร้,-198.72744204698097,-110.23578510711742,-39.66199460909618,-77.77757829132287
ข้าวหมูอบ,-198.4404971467906,-105.24110809695814,-39.70503188789534,-72.99548012658506
คะน้าปลากระป๋อง,-198.75212170917794,-114.23884963071401,-39.66152732784305,-78.2098917533127
หมูทอดแดดเดียว,-198.7643455327162,-120.29559924644063,-39.84384583660301,121.52954718067483
กุ้งแม่น้ำอบวุ้นเส้น,-198.74551977444938,-105.28990047676368,-39.818575563121875,-84.8409149667947
ข้าวผัดกิมจิ,-198.7753689401262,-120.30943722024132,-39.882483780339506,143.57038662409738
ซอสสปาเกตตีมะเขือเทศหมูสับผัดมันฝรั่ง,-198.78069158515478,-115.32565555011855,-39.93346315541825,126.53045427464194
ข้าวผัดกุ้ง,-198.79584395405388,-120.3271343916858,-39.75417892846687,-89.43812608445049
ไส้กรอก,-168.7486165608532,-112.2174681666997,-39.655833120962264,-78.46626029449004
สปาเกตตี้น้ำยาทูน่า,-198.7745733445604,-90.15045486507623,-39.700363592442024,-80.9348518727375
ใบเหลียงผัดไข่ใส่หมูสับ,-198.76693522273564,-112.26612228475618,-39.58670649921927,-28.93554365681205
แกงส้มไข่ชะอมกุ้ง,301.08536249061893,80.10750752746449,-39.59074489378957,-88.19190296981321
ยำหมูยอไข่แดงเค็ม,-198.8383434644002,-60.3343134641358,-38.83746710005637,-92.87633775934184
กระเพราหมูสับข้าวกล้องกุนเชียง,-198.7587394486095,-105.30456778960038,-39.873030317325046,140.26762916878835
หมี่ผัดกะทิ,-198.7391270452801,-100.18857185422235,-39.5664192236211,-79.49004448064805
ริกาโตนี่ซอสครีมไข่เค็ม,-198.77673887863125,-120.2896383930492,-39.5052823654023,-83.99580572146765
ต้มจืดหมึกยัดใส้หมูสับ,-198.75592174155838,-120.26746501998275,-39.74827987995439,21.4159048513602
หมูปิ้งสูตรนุ๊มนุ่ม,-198.55990129440642,-90.49162566082548,-40.59583887240875,919.6808534326651
Tonkatsu,-198.75737210947938,-119.1284308346172,-39.543916287834335,-78.91551417245239
ผัดพริกหยวกหมูหมัก,-198.7820100502027,-112.3441634498234,-40.00190503886089,272.24624746013205
ก๋วยเตี๋ยวคั่วทะเล,-198.7297981910145,-112.77251513213889,-39.57341557961324,-60.20080164896088
ผัดหมี่ตะคุกุ้ง,-88.73855363705303,-110.18159825051211,-39.60087305979374,-82.26846992160542
ข้าวมัน-ส้มตำ,-198.74495505183128,-120.23889135498412,-39.65185649798293,-78.31612184198593
มักกะโรนีเกลียวผัดไก่,-198.76442643333505,-120.26828398512265,-39.67185570371589,-82.7177638791875
หมี่เหลืองผัดซีอิ๊ว,-198.81479009222667,-120.41168330388015,-39.84677346725798,421.06331056477285
สปาเกตตีผัดคะน้าปลาเค็ม,-198.77453728702642,-108.26444086402739,-39.72200164382142,-76.23641308573264
